Domande,Risposte,embedding_model,llm_model,response_time,retrieval_effectivness,llm_semantic_effectivness,llm_syntax_grammar_effectivness
Come sostituisco il formaggio?,UN. (iv) 2.25.15.45.35.75.40.50.60.30.90.60.70.80.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60 .60.60.60.60.60.60.60.60 .60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60. 60.60.60.60.60.60.60.60.60.60 .60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60. 60.60.60.60.60.60.60.60.60.60 .60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60. 60.60.60.60.60.60.60.60.60.60 .60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60.60. 60.60.60.60.60.60.60.60.60,,,2.04285E+16,,,
Ricette vegane senza glutine?,"Suggerirei di utilizzare ricette vegane facili da preparare e con una varietà di ingredienti. Possono essere preparati con diversi tipi di carne, verdure o legumi come il seitan per aggiungere opzioni di aromatizzazione come zuppe con brodo di pollo, verdure stufate in salse a base di verdure, ecc.",paraphrase-multilingual-MiniLM-L12-v2,declare-lab/flan-alpaca-base,1.36433E+16,0,1,1
Ricette con le lenticchie?,"Esistono due possibili versioni delle lenticchie: una con granelli di soia o seitan tritato e l'altra casalinga. La prima ricetta è semplice ma molto gustosa, mentre la seconda versione contiene ingredienti più saporiti come l'aglio in polvere e il peperoncino.",,,6.26294E+15,,,
Ricetta della lasagna vegana?,"La ricetta delle lasagne vegane è un ottimo modo per preparare pasti sani e deliziosi. È facile, veloce, nutriente e ha il perfetto equilibrio di sapori per ogni pasto!",,,7.69272E+16,,,
Ricette per integrare il ferro?,"Le ricette per integrare il ferro sono: - Pollo e Uova Arrosto con Kalamatandan. Questa ricetta è semplice, ma presenta qualche variazione negli ingredienti utilizzati per cucinare; - Quinoa saltata in padella con insalata di patate dolci e spinaci (con aglio)",,,1.10296E+16,,,
Come diventare vegani?,"Per diventare vegano, dovresti iniziare identificando le tue attuali abitudini alimentari e il tuo stile di vita. Puoi anche cercare risorse su come passare da una dieta all'altra con uno strumento online come Vegetarian Diets (Vegan Food Network). Inoltre, è importante che le persone comprendano i rischi per la salute associati al diventare vegetariani e il tipo di cibo che stanno attualmente seguendo, in modo da prendere decisioni informate sull’opportunità o meno di tornare agli alimenti di origine animale quando possibile.",,,1.03167E+16,,,
Antipasti vegani?,"Sono utili gli antipasti vegani. Possono essere preparati con una varietà di ingredienti, come formaggio e verdure vegani o frutta secca come avocado e latte di mandorle per renderli più saporiti delle normali patatine e dolci.",,,7.15594E+15,,,
Come sostituisco la carne?,Suggerirei di sostituire la carne con le verdure. Questo perché i vegetariani sono in grado di ottenere tutti i nutrienti di cui hanno bisogno senza includere prodotti animali nella loro dieta e anche le ricette vegane possono essere facilmente realizzate con questi ingredienti.,,,5.64235E+15,,,
Cosa posso fare con le melanzane?,"Le melanzane possono essere utilizzate per preparare una varietà di piatti, come falafel e zuppe. Sono ottimi anche per preparare insalate o fritture con verdure come spinaci, carote, cipolle, peperoni, ecc.",,,7.61103E+16,,,
Che significa essere vegani?,"Significa che il veganismo è benefico per l’ambiente e può aiutare a ridurre la nostra impronta di carbonio. I vegani seguono anche un modo di mangiare più sostenibile, poiché non consumano prodotti animali e non includono carne nella loro dieta.",,,6.8464E+15,,,
Come sostituisco il formaggio?,"Potete sostituire il formaggio con i cereali. Si consiglia di aggiungere al sugo l'acqua calda di cottura della pasta e di farla asciugare delicatamente, oppure potete utilizzare dell'olio vegetale al posto del parmigiano per un effetto più saporito su piatti come le lasagne.",,,5.54287E+15,,,
Ricette vegane senza glutine?,No. Non sono sicuro di cosa dire su questa domanda. La prima è una dieta vegana. La seconda è una dieta vegetariana. La terza è una dieta priva di glutine. La quarta è una dieta vegana.,paraphrase-multilingual-MiniLM-L12-v2,google/flan-t5-base,6.45895E+15,0,1,1
Ricette con le lenticchie?,"Ricetta semplice ma molto gustosa e nutriente! CLAUDIO POMO Responsabile campagna Ingredienti per 4 persone: 250 g di lenticchie secche 4-5 patate grandi 1 carota 1/2 cipolla 1 spicchio d'aglio latte di soia dado vegetale 1 rametto di rosmarino 1 peperoncino (facoltativo) margarina olio extravergine d'oliva sale e pepe Iniziate preparando le lenticchie, che richiedono circa 40 minuti di cottura.",,,1.25539E+16,,,
Ricetta della lasagna vegana?,"Sì, sono vegetariano. Ma non sono vegano. Quindi cosa devo sapere? È una ricetta semplice Ed è molto gustoso.",,,4.89038E+15,,,
Ricette per integrare il ferro?,"Le alghe sono tra le migliori fonti di iodio, ma ne contengono una percentuale molto variabile. Ce n'è che esistono due versioni possibili: una con granuli di soia o seitan tritato e una più semplice casalinga con lenticchie. Solitamente per comodità e presenza di ingredienti in casa scelgo la seconda. Questa è una ricetta semplice ma molto gustosa e nutriente!",,,1.07409E+16,,,
Come diventare vegani?,"Inizia con un pasto a base di verdure al giorno o con un giorno della settimana di dieta vegetale. La risposta finale: inizia con un pasto vegetale al giorno, o un giorno di una settimana di dieta vegetale.",,,5.40891E+15,,,
Antipasti vegani?,"Patatine e dolci possono essere vegani, ma non una dieta a base di cibo spazzatura è ovviamente nutriente. Tuttavia, una dieta vegana ben pianificata può contenere tutti gli elementi di una dieta sana. Assicurati di consumare cibi ricchi e poveri di fibre e calorie, come frutta, verdura, cereali e legumi, bilanciati con alcuni alimenti ricchi di grassi (buoni) come olio, noci, avocado e frutta disidratata.",,,1.00851E+16,,,
Come sostituisco la carne?,I vegetariani possono sostituire la carne con le verdure. I vegetariani possono sostituire la carne con le patate. I vegetariani possono sostituire la carne con fagioli o riso. I vegetariani possono sostituire la carne con le uova o con riso e fagioli.,,,6.0445E+15,,,
Cosa posso fare con le melanzane?,Mangiali. - Cuocerli al forno. - Prepara un'insalata. - Serviteli con riso. - Aggiungere un po' di olio d'oliva al piatto.,,,5.79989E+15,,,
Che significa essere vegani?,"Niente carne, pesce o prodotti animali come GRASSI ANIMALI O GELATINA + NO LATTICINI COME LATTE, FORMAGGIO O YOGURT DI MUCCA O CAPRA + NO UOVA + NO MIELE",,,9.50051E+14,,,
Come sostituisco il formaggio?,"Metti il ??concentrato di pomodoro in acqua calda. Poi aggiungete nella pentola tutti gli altri ingredienti e fate cuocere finché non si sarà formata una bella salsa. Mettete in una pentola l'olio extravergine d'oliva e lo scalogno e un cucchiaio d'acqua, e fateli appassire dolcemente. Nel frattempo sciogliete il concentrato di pomodoro in acqua calda. Poi aggiungete nella pentola tutti gli altri ingredienti e fate cuocere finché non si sarà formata una bella salsa.",,,8.16913E+15,,,
Ricette vegane senza glutine?,SENZA UOVA + SENZA MIELE Come iniziare? Non esiste un modo ideale per iniziare una dieta vegana. Cosa fare con gli ingredienti? (I) Mangia più verdure. (II) Evitare gli alimenti trasformati. (III) Non utilizzare latticini.,paraphrase-multilingual-MiniLM-L12-v2,google/flan-t5-small,2.75218E+15,0,0,1
Ricette con le lenticchie?,(4).3 La ricetta è semplice ma gustosa. (iv) Le ricette con le lenticchie sono facili da realizzare. (iv) Le ricette con i granuli di soia sono veloci e deliziose.,,,2.11724E+16,,,
Ricetta della lasagna vegana?,"(iv) .3 La ricetta originale prevede una carne macinata cotta in un brodo particolare, ricoperta di purè di patate e messa in forno;",,,2.04286E+16,,,
Ricette per integrare il ferro?,(iv) .3). 4). 3). 4). 5). 6.7.4). 8.3). 9.7]. 10.15). 11.10). 12.20).,,,2.72797E+16,,,
Come diventare vegani?,a).. (iv) 2. Una dieta vegana è composta interamente da ingredienti vegetali ed esclude prodotti derivati ??da animali 3. Una dieta vegetariana è composta interamente da ingredienti vegetali ed esclude prodotti derivati ??da animali 4. Una dieta vegana è composta interamente da ingredienti vegetali e esclude i prodotti derivati ??dagli animali 5. Una dieta vegana è composta interamente da ingredienti vegetali ed esclude i prodotti derivati ??dagli animali 6.,,,5.06882E+14,,,
Antipasti vegani?,"(iv) .3;(iv). 4);(iv), 3);(iv, 5);(iv] e (iv",,,1.87621E+16,,,
Come sostituisco la carne?,"Solitamente per comodità e presenza di ingredienti in casa scelgo la seconda. (iv) La ricetta originale prevede una carne macinata cotta in un brodo particolare, ricoperta di purè di patate e messa in forno",,,2.34244E+16,,,
Cosa posso fare con le melanzane?,"(iv) .3 Mettete poi la panna in un bicchiere e sbattetela con un po' di aceto di mele. 4 tazze e 1/2 di latte di mandorle, limone, olio d'oliva, sale e zafferano sociologo.",,,2.2127E+16,,,
Che significa essere vegani?,SENZA UOVA + SENZA MIELE Come iniziare? Non esiste un modo ideale per iniziare una dieta vegana. Una dieta vegana è composta interamente da ingredienti vegetali ed esclude prodotti derivati ??da animali. Prevede:,,,2.51105E+14,,,
Come sostituisco il formaggio?,un cavolo una cipolla dorata 250 gr. di tofu 200 gr. (iv) per 4 persone. Quindi potete sostituire il formaggio con il pane alle verdure.,,,1.93613E+16,,,

